-14.9473684210526,491.803278688525,4,1,0,100,1,0
39337,-100,4,1,0,100,0,1
70812,-100,4,1,0,100,0,0
102288,-100,4,1,0,100,0,1
133763,-100,4,1,0,100,0,0
135722,500,4,1,0,100,1,0
136722,508.474576271187,4,1,0,100,1,8
137738,512.820512820513,4,1,0,100,1,0


[HitObjects]
256,96,8345,5,8,0:0:0:0:
256,96,8837,1,8,0:0:0:0:
256,96,9329,1,8,0:0:0:0:
256,96,10312,1,0,0:0:0:0:
256,96,11296,1,8,0:0:0:0:
256,96,12771,1,0,0:0:0:0:
256,96,13263,1,8,0:0:0:0:
256,96,14247,1,8,0:0:0:0:
256,96,16214,1,0,0:0:0:0:
256,96,16706,1,0,0:0:0:0:
256,96,17198,1,0,0:0:0:0:
256,96,18181,1,8,0:0:0:0:
256,96,19165,1,8,0:0:0:0:
256,96,20640,1,8,0:0:0:0:
256,96,21132,1,0,0:0:0:0:
256,96,22116,1,8,0:3:0:0:
256,96,23591,5,0,0:0:0:0:
256,96,24083,1,8,0:0:0:0:
256,96,24575,1,8,0:0:0:0:
256,96,25067,1,0,0:0:0:0:
256,96,26050,1,8,0:0:0:0:
256,96,27034,1,8,0:0:0:0:
256,96,27526,1,0,0:0:0:0:
256,96,28509,1,0,0:0:0:0:
256,96,29001,1,8,0:0:0:0:
256,96,29985,1,8,0:0:0:0:
256,96,31460,5,8,0:0:0:0:
256,96,31952,1,0,0:0:0:0:
256,96,32444,1,0,0:0:0:0:
256,96,32935,1,8,0:0:0:0:
256,96,33919,1,8,0:0:0:0:
256,96,34903,1,0,0:0:0:0:
256,96,35394,1,8,0:0:0:0:
256,96,36378,1,8,0:0:0:0:
256,96,36870,5,0,0:0:0:0:
256,96,39329,5,4,0:0:0:0:
256,96,40312,1,8,0:0:0:0:
256,96,40804,1,8,0:0:0:0:
256,96,41788,1,0,0:0:0:0:
256,96,42771,1,8,0:0:0:0:
256,96,43263,1,0,0:0:0:0:
256,96,43755,1,0,0:0:0:0:
256,96,44247,1,8,0:0:0:0:
256,96,45230,1,0,0:0:0:0:
256,96,45968,1,8,0:0:0:0:
256,96,47198,5,0,0:0:0:0:
256,96,48181,1,8,0:0:0:0:
256,96,48673,1,8,0:0:0:0:
256,96,49657,1,0,0:0:0:0:
256,96,51132,5,0,0:0:0:0:
